,Unnamed: 0,Unnamed: 0.1,iso_code,continent,location,date,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,0,0,AFG,Asia,Afghanistan,2020-02-24,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
1,2,2,ALB,Europe,Albania,2020-02-25,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
2,3,3,DZA,Africa,Algeria,2020-02-25,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
3,4,4,AND,Europe,Andorra,2020-03-02,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
4,5,5,AGO,Africa,Angola,2020-03-20,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
5,6,6,AIA,North America,Anguilla,2021-02-04,15002.0,,,,,,,,,,,,,81.88,
6,7,7,ATG,North America,Antigua and Barbuda,2020-03-13,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
7,8,8,ARG,South America,Argentina,2020-01-01,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
8,9,9,ARM,Asia,Armenia,2020-03-01,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
9,11,11,AUS,Oceania,Australia,2020-01-26,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
10,12,12,AUT,Europe,Austria,2020-02-25,9006400.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
11,13,13,AZE,Asia,Azerbaijan,2020-03-01,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
12,14,14,BHS,North America,Bahamas,2020-03-16,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
13,15,15,BHR,Asia,Bahrain,2020-02-24,1701583.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
14,16,16,BGD,Asia,Bangladesh,2020-03-03,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
15,17,17,BRB,North America,Barbados,2020-03-17,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
16,18,18,BLR,Europe,Belarus,2020-02-28,9449321.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
17,19,19,BEL,Europe,Belgium,2020-02-04,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
18,20,20,BLZ,North America,Belize,2020-03-23,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
19,21,21,BEN,Africa,Benin,2020-03-16,12123198.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
20,22,22,BMU,North America,Bermuda,2021-01-10,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
21,23,23,BTN,Asia,Bhutan,2020-03-06,771612.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
22,24,24,BOL,South America,Bolivia,2020-03-11,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
23,25,25,BIH,Europe,Bosnia and Herzegovina,2020-03-05,3280815.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
24,26,26,BWA,Africa,Botswana,2020-03-30,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
25,27,27,BRA,South America,Brazil,2020-02-26,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
26,28,28,BRN,Asia,Brunei,2020-03-09,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
27,29,29,BGR,Europe,Bulgaria,2020-03-08,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
28,30,30,BFA,Africa,Burkina Faso,2020-03-10,20903278.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
29,31,31,BDI,Africa,Burundi,2020-03-31,11890781.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
30,32,32,KHM,Asia,Cambodia,2020-01-27,16718971.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594
31,33,33,CMR,Africa,Cameroon,2020-03-06,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
32,34,34,CAN,North America,Canada,2020-01-26,37742157.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929
33,35,35,CPV,Africa,Cape Verde,2020-03-20,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
34,36,36,CYM,North America,Cayman Islands,2020-12-26,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92,
35,37,37,CAF,Africa,Central African Republic,2020-03-15,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397
36,38,38,TCD,Africa,Chad,2020-03-19,16425859.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398
37,39,39,CHL,South America,Chile,2020-02-23,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
38,40,40,CHN,Asia,China,2020-01-22,1439323774.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
39,41,41,COL,South America,Colombia,2020-03-06,50882884.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
40,42,42,COM,Africa,Comoros,2020-04-30,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
41,43,43,COG,Africa,Congo,2020-03-15,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
42,44,44,CRI,North America,Costa Rica,2020-03-06,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
