iso_code,continent,location,year,month,day,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,total_vaccinations_per_million,people_vaccincated_per_million,stringency_index,population_density,gdp_per_capita
AFG,Asia,Afghanistan,2020,Feb,0,0.026,0.026,0,0,0,0,0,0,0,8.33,54.422,1803.987
AFG,Asia,Afghanistan,2020,Mar,0,4.495,4.472,0,0,0,0,0,0,0,27.78,54.422,1803.987
AFG,Asia,Afghanistan,2020,Apr,0,54.639,50.146,0,0,0,0,0,0,0,67.59,54.422,1803.987
AFG,Asia,Afghanistan,2020,May,0,390.667,336.027,0,0,0,0,0,0,0,84.26,54.422,1803.987
AFG,Asia,Afghanistan,2020,Jun,0,809.359,418.695,0,0,0,0,0,0,0,84.26,54.422,1803.987
AFG,Asia,Afghanistan,2020,Jul,0,941.859,132.499,0,0,0,0,0,0,0,78.7,54.422,1803.987
AFG,Asia,Afghanistan,2020,Aug,0,980.237,38.381,0,0,0,0,0,0,0,78.7,54.422,1803.987
AFG,Asia,Afghanistan,2020,Sep,0,1008.725,28.489,0,0,0,0,0,0,0,21.3,54.422,1803.987
AFG,Asia,Afghanistan,2020,Oct,0,1064.135,55.411,0,0,0,0,0,0,0,28.7,54.422,1803.987
AFG,Asia,Afghanistan,2020,Nov,0,1188.697,124.562,0,0,0,0,0,0,0,9.26,54.422,1803.987
AFG,Asia,Afghanistan,2020,Dec,0,1323.612,134.915,0,0,0,0,0,0,0,12.04,54.422,1803.987
AFG,Asia,Afghanistan,2021,Feb,0,1431.194,17.749,0,0,0,0.02,0.02,0.02,0,12.04,54.422,1803.987
AFG,Asia,Afghanistan,2021,Mar,0,1450.203,19.009,0,0,0,0.14,0.14,0.14,0,12.04,54.422,1803.987
AFG,Asia,Afghanistan,2021,Apr,0,1487.297,37.094,0,0,0,0.31,0.31,0.31,0,8.33,54.422,1803.987
AFG,Asia,Afghanistan,2021,Jan,0,1413.443,89.832,0,0,0,0,0,0,0,12.04,54.422,1803.987
OWID_AFR,0,Africa,2020,Feb,0,0.002,0.003,0,0,0,0,0,0,0,0,0,0
OWID_AFR,0,Africa,2020,Mar,0,4.312,4.31,0,0,0,0,0,0,0,0,0,0
OWID_AFR,0,Africa,2020,Apr,0,28.907,24.597,0,0,0,0,0,0,0,0,0,0
OWID_AFR,0,Africa,2020,May,0,109.324,80.417,0,0,0,0,0,0,0,0,0,0
OWID_AFR,0,Africa,2020,Jun,0,302.03,192.708,0,0,0,0,0,0,0,0,0,0
